Conference,Year,Title,Author,Affiliation
NeurIPS,2006,Attentional Processing on a Spike-Based VLSI Neural Network,Yingxue Wang,"Swiss Federal Institute of Technology, Zurich"
NeurIPS,2006,Attentional Processing on a Spike-Based VLSI Neural Network,Rodney J Douglas,Institute of Neuroinformatics
NeurIPS,2006,Attentional Processing on a Spike-Based VLSI Neural Network,Shih-Chii Liu,"Institute for Neuroinformatics, University of Zurich and ETH Zurich"
NeurIPS,2006,Multi-Task Feature Learning,Andreas Argyriou,Ecole Centrale de Paris
NeurIPS,2006,Multi-Task Feature Learning,Theos Evgeniou,INSEAD
NeurIPS,2006,Multi-Task Feature Learning,Massimiliano Pontil,IIT & UCL
NeurIPS,2006,A Rate-Distortion Approach to Joint Pattern Alignment,Andrea Vedaldi,Facebook AI Research and University of Oxford
NeurIPS,2006,Context Effects in Category Learning:  An Investigation of Four Probabilistic Models,Mike Mozer,Google Research and U. Colorado Boulder
NeurIPS,2006,Context Effects in Category Learning:  An Investigation of Four Probabilistic Models,Michael Jones,Indiana University
NeurIPS,2006,Context Effects in Category Learning:  An Investigation of Four Probabilistic Models,Michael Shettel,University of Colorado at Boulder
NeurIPS,2006,Comparative Gene Prediction using Conditional Random Fields,Jade P Vinson,Renaissance Technologies
NeurIPS,2006,Comparative Gene Prediction using Conditional Random Fields,David DeCaprio,None
NeurIPS,2006,Comparative Gene Prediction using Conditional Random Fields,Stacey Luoma,None
NeurIPS,2006,Comparative Gene Prediction using Conditional Random Fields,James Galagan,Broad Institute of MIT and Harvard
NeurIPS,2006,Causal inference in sensorimotor integration,Konrad P Kording,MIT
NeurIPS,2006,Causal inference in sensorimotor integration,Josh Tenenbaum,MIT
NeurIPS,2006,Geometric entropy minimization (GEM) for anomaly detection and localization,Alfred Hero,University of Michigan
NeurIPS,2006,Conditional Random Sampling: A Sketch-based Sampling Technique for Sparse Data,Ping Li,Baidu Research USA
NeurIPS,2006,Conditional Random Sampling: A Sketch-based Sampling Technique for Sparse Data,Kenneth W Church,Microsoft
NeurIPS,2006,Conditional Random Sampling: A Sketch-based Sampling Technique for Sparse Data,Trevor Hastie,Stanford University
NeurIPS,2006,Recursive ICA,Honghao Shan,Experian
NeurIPS,2006,Recursive ICA,Lingyun Zhang,"University of California, San Diego"
NeurIPS,2006,Recursive ICA,Gary Cottrell,UCSD
NeurIPS,2006,"Efficient sparse coding algorithms, end-stopping and nCRF surround suppression",Honglak Lee,U. Michigan
NeurIPS,2006,"Efficient sparse coding algorithms, end-stopping and nCRF surround suppression",Alexis Battle,Stanford University
NeurIPS,2006,"Efficient sparse coding algorithms, end-stopping and nCRF surround suppression",Raina Rajat,Stanford University
NeurIPS,2006,"Efficient sparse coding algorithms, end-stopping and nCRF surround suppression",Andrew Y Ng,DeepLearning.AI
NeurIPS,2006,Inferring Network Structure from Co-Occurrences,Michael Rabbat,University of Wisconsin-Madison
NeurIPS,2006,Inferring Network Structure from Co-Occurrences,Mario T Figueiredo,Instituto Superior Técnico
NeurIPS,2006,Inferring Network Structure from Co-Occurrences,Rob Nowak,Wisconsin
NeurIPS,2006,Training Conditional Random Fields for Maximum Parse Accuracy,Samuel Gross,Stanford University
NeurIPS,2006,Training Conditional Random Fields for Maximum Parse Accuracy,Olga Russakovsky,Princeton University
NeurIPS,2006,Training Conditional Random Fields for Maximum Parse Accuracy,Chuong B Do,Stanford University
NeurIPS,2006,Training Conditional Random Fields for Maximum Parse Accuracy,Serafim Batzoglou,None
NeurIPS,2006,On Transductive Regression,Corinna Cortes,Google Research
NeurIPS,2006,On Transductive Regression,Mehryar Mohri,Google Research & Courant Institute of Mathematical Sciences
NeurIPS,2006,implicit Online Learning with Kernels,licheng Cheng,University of Alberta
NeurIPS,2006,implicit Online Learning with Kernels,Vishwanathan S V N,National ICT Australia
NeurIPS,2006,implicit Online Learning with Kernels,Dale Schuurmans,Google Brain & University of Alberta
NeurIPS,2006,implicit Online Learning with Kernels,Shaojun Wang,Wright State University
NeurIPS,2006,implicit Online Learning with Kernels,Terry Caelli,None
NeurIPS,2006,Kernel Maximum Entropy Data Transformation and an Enhanced Spectral Clustering Algorithm,Robert Jenssen,UiT The Arctic University of Norway
NeurIPS,2006,Kernel Maximum Entropy Data Transformation and an Enhanced Spectral Clustering Algorithm,Torbjorn Eltoft,University of Tromsø
NeurIPS,2006,Kernel Maximum Entropy Data Transformation and an Enhanced Spectral Clustering Algorithm,Mark A Girolami,University of Glasgow
NeurIPS,2006,Kernel Maximum Entropy Data Transformation and an Enhanced Spectral Clustering Algorithm,Deniz Erdogmus,Oregon Health and Science University
NeurIPS,2006,Blind Motion Deblurring Using Image Statistics,Anat Levin,MIT
NeurIPS,2006,A Small World Threshold for Economic Network Formation,Eyal Even-Dar,University of Pennsylvania
NeurIPS,2006,A Small World Threshold for Economic Network Formation,Michael Kearns,University of Pennsylvania
NeurIPS,2006,Branch and Bound for Semi-Supervised Support Vector Machines,Olivier Chapelle,Google
NeurIPS,2006,Branch and Bound for Semi-Supervised Support Vector Machines,Vikas Sindhwani,Google
NeurIPS,2006,Branch and Bound for Semi-Supervised Support Vector Machines,Sathiya Selvaraj Keerthi,Yahoo!
NeurIPS,2006,Isotonic Conditional Random Fields and Local Sentiment Flow,Yi Mao,Microsoft
NeurIPS,2006,Isotonic Conditional Random Fields and Local Sentiment Flow,Guy Lebanon,Amazon
NeurIPS,2006,Efficient Methods for Privacy Preserving Classification,JOHN HERSHEY,Mitsubishi Elec Res Labs
NeurIPS,2006,Efficient Methods for Privacy Preserving Classification,Moshe Butman,None
NeurIPS,2006,Gaussian Process Models for Discriminative Link Prediction,Kai Yu,Baidu
NeurIPS,2006,Gaussian Process Models for Discriminative Link Prediction,Wei Chu,Ant Financial
NeurIPS,2006,Gaussian Process Models for Discriminative Link Prediction,Shipeng Yu,University of Munich
NeurIPS,2006,Gaussian Process Models for Discriminative Link Prediction,Volker Tresp,Siemens AG
NeurIPS,2006,Gaussian Process Models for Discriminative Link Prediction,Zhao Xu,None
NeurIPS,2006,Near-Uniform Sampling of Combinatorial Spaces Using XOR Constraints,Carla Gomes,Cornell University
NeurIPS,2006,Near-Uniform Sampling of Combinatorial Spaces Using XOR Constraints,Ashish Sabharwal,Cornell University
NeurIPS,2006,Near-Uniform Sampling of Combinatorial Spaces Using XOR Constraints,Bart Selman,Cornell University
NeurIPS,2006,Conditional mean field,Peter Carbonetto,University of British Columbia
NeurIPS,2006,Conditional mean field,Nando de Freitas,University of Oxford
NeurIPS,2006,A Collapsed Variational Bayesian Inference Algorithm for Latent Dirichlet Allocation,Yee Whye Teh,"University of Oxford, DeepMind"
NeurIPS,2006,A Collapsed Variational Bayesian Inference Algorithm for Latent Dirichlet Allocation,David Newman,"University of California, Irvine"
NeurIPS,2006,A Collapsed Variational Bayesian Inference Algorithm for Latent Dirichlet Allocation,Max Welling,University of Amsterdam / Qualcomm AI Research
NeurIPS,2006,Chained Boosting,Christian R Shelton,"University of California, Riverside"
NeurIPS,2006,Chained Boosting,Wesley Huie,UC Riverside
NeurIPS,2006,Randomized PCA Algorithms with Regret Bounds that are Logarithmic in the Dimension,Manfred K. Warmuth,Google Brain
NeurIPS,2006,Randomized PCA Algorithms with Regret Bounds that are Logarithmic in the Dimension,Dima Kuzmin,None
NeurIPS,2006,Learning to Rank with Nonsmooth Cost Functions,Chris J Burges,Microsoft Research
NeurIPS,2006,Learning to Rank with Nonsmooth Cost Functions,Quoc Le,National ICT Australia
NeurIPS,2006,Learning to Rank with Nonsmooth Cost Functions,Robert J Ragno,Microsoft
NeurIPS,2006,Non-rigid point set registration: Coherent Point Drift,Andriy Myronenko,Oregon Health & Science University
NeurIPS,2006,Non-rigid point set registration: Coherent Point Drift,Xubo Song,"School. of Medicine,  Oregon Health & Science Univ."
NeurIPS,2006,Differential Entropic Clustering of Multivariate Gaussians,Jason V Davis,University of Texas at Austin
NeurIPS,2006,Differential Entropic Clustering of Multivariate Gaussians,Inderjit Dhillon,UT Austin & Amazon
NeurIPS,2006,"Learning with Hypergraphs: Clustering, Classification, and Embedding",Denny Zhou,Google Brain
NeurIPS,2006,"Learning with Hypergraphs: Clustering, Classification, and Embedding",Jiayuan Huang,University of Waterloo
NeurIPS,2006,"Learning with Hypergraphs: Clustering, Classification, and Embedding",Bernhard Schölkopf,"MPI for Intelligent Systems, Tübingen"
NeurIPS,2006,Hierarchical Dirichlet Processes with Random Effects,Seyoung Kim,"University of California, Irvine"
NeurIPS,2006,Hierarchical Dirichlet Processes with Random Effects,Padhraic Smyth,"University of California, Irvine"
NeurIPS,2006,Theory and Dynamics of Perceptual Bistability,Paul R Schrater,University of Minnesota
NeurIPS,2006,Theory and Dynamics of Perceptual Bistability,Rashmi Sundareswara,None
NeurIPS,2006,Efficient Structure Learning of Markov Networks using L1-Regularization,Su-In Lee,Stanford University
NeurIPS,2006,Efficient Structure Learning of Markov Networks using L1-Regularization,Varun Ganapathi,Stanford University
NeurIPS,2006,Efficient Structure Learning of Markov Networks using L1-Regularization,Daphne Koller,insitro
NeurIPS,2006,Learning to be Bayesian without Supervision,Martin Raphan,HHMI
NeurIPS,2006,Learning to be Bayesian without Supervision,Eero Simoncelli,FlatIron Institute / New York University
NeurIPS,2006,Generalized Maximum Margin Clustering and Unsupervised Kernel Learning,Hamed Valizadegan,Michigan State University
NeurIPS,2006,Generalized Maximum Margin Clustering and Unsupervised Kernel Learning,Rong Jin,Michigan State University (MSU)
NeurIPS,2006,Multi-Robot Negotiation: Approximating the Set of Subgame Perfect Equilibria in General Sum Stochastic Games,Chris D Murray,Carnegie Mellon University
NeurIPS,2006,Multi-Robot Negotiation: Approximating the Set of Subgame Perfect Equilibria in General Sum Stochastic Games,Geoffrey Gordon,MSR Montréal & CMU
NeurIPS,2006,Large Margin Multi-channel Analog-to-Digital Conversion with Applications to Neural P,Amit Gore,None
NeurIPS,2006,Large Margin Multi-channel Analog-to-Digital Conversion with Applications to Neural P,Shantanu Chakrabartty,The Johns Hopkins University
NeurIPS,2006,Learning to Traverse Image Manifolds,Piotr Dollar,Facebook AI Research
NeurIPS,2006,Learning to Traverse Image Manifolds,Vincent Rabaud,None
NeurIPS,2006,Learning to Traverse Image Manifolds,Serge Belongie,Cornell University
NeurIPS,2006,Learning on Graph with Laplacian Regularization,Rie Ando,None
NeurIPS,2006,Learning on Graph with Laplacian Regularization,Tong Zhang,Tencent
NeurIPS,2006,Stability of $K$-Means Clustering,Sasha Rakhlin,University of Pennsylvania
NeurIPS,2006,Stability of $K$-Means Clustering,Andrea Caponnetto,None
NeurIPS,2006,Learning Nonparametric Models for Probabilistic Imitation,David Grimes,University of Washington
NeurIPS,2006,Learning Nonparametric Models for Probabilistic Imitation,Daniel Rashid,None
NeurIPS,2006,Learning Nonparametric Models for Probabilistic Imitation,Rajesh PN Rao,University of Washington
NeurIPS,2006,A Nonparametric Bayesian Method for Inferring Features From Similarity Judgments,Daniel Navarro,University of Adelaide
NeurIPS,2006,A Nonparametric Bayesian Method for Inferring Features From Similarity Judgments,Tom Griffiths,Princeton
NeurIPS,2006,A Probabilistic Algorithm Integrating Source Localization and Noise Suppression for MEG and EEG data,Johanna M Zumer,Uni. of Nottingham
NeurIPS,2006,A Probabilistic Algorithm Integrating Source Localization and Noise Suppression for MEG and EEG data,Hagai Attias,Microsoft Research
NeurIPS,2006,A Probabilistic Algorithm Integrating Source Localization and Noise Suppression for MEG and EEG data,Kensuke Sekihara,None
NeurIPS,2006,A Probabilistic Algorithm Integrating Source Localization and Noise Suppression for MEG and EEG data,Srikantan Nagarajan,None
NeurIPS,2006,Optimal Change-Detection and Spiking Neurons,Angela Yu,UC San Diego
NeurIPS,2006,Learning to parse images of articulated bodies,Deva Ramanan,Toyota Technological Institute at Chicago
NeurIPS,2006,Similarity by Composition,Oren Boiman,Weizmann Institute of Science
NeurIPS,2006,Similarity by Composition,Michal Irani,Weizmann Institute of Science
NeurIPS,2006,Distributed Inference in Dynamical Systems,Stanislav Funiak,Facebook
NeurIPS,2006,Distributed Inference in Dynamical Systems,Carlos Guestrin,University of Washington
NeurIPS,2006,Distributed Inference in Dynamical Systems,Mark A Paskin,Stanford University
NeurIPS,2006,Distributed Inference in Dynamical Systems,Rahul Sukthankar,Intel Labs and CMU
NeurIPS,2006,Balanced Graph Matching,Timothee Cour,NEC Labs America
NeurIPS,2006,Balanced Graph Matching,Praveen Srinivasan,Microsoft
NeurIPS,2006,Balanced Graph Matching,Jianbo Shi,University of Pennsylvania
NeurIPS,2006,Parameter Expanded Variational Bayesian Methods,Yuan (Alan) Qi,M.I.T.
NeurIPS,2006,Parameter Expanded Variational Bayesian Methods,Tommi Jaakkola,MIT
NeurIPS,2006,Graph Regularization for Maximum Variance Unfolding with an Application to Sensor Localization,Kilian Q Weinberger,Washington University in St. Louis
NeurIPS,2006,Graph Regularization for Maximum Variance Unfolding with an Application to Sensor Localization,Fei Sha,University of Southern California (USC)
NeurIPS,2006,Graph Regularization for Maximum Variance Unfolding with an Application to Sensor Localization,Qihui Zhu,University of Pennsylvania
NeurIPS,2006,Graph Regularization for Maximum Variance Unfolding with an Application to Sensor Localization,Lawrence Saul,UC San Diego
NeurIPS,2006,Image Retrieval and Classification Using Local Distance Functions,Andrea Frome,UC Berkeley
NeurIPS,2006,Image Retrieval and Classification Using Local Distance Functions,Yoram Singer,Princeton
NeurIPS,2006,Image Retrieval and Classification Using Local Distance Functions,Jitendra Malik,UC Berkeley
NeurIPS,2006,Convergence of Laplacian Eigenmaps,Mikhail Belkin,Ohio State University
NeurIPS,2006,Convergence of Laplacian Eigenmaps,Partha Niyogi,University of Chicago
NeurIPS,2006,AdaBoost is Consistent,Peter Bartlett,UC Berkeley
NeurIPS,2006,AdaBoost is Consistent,Mikhail Traskin,UC Berkeley
NeurIPS,2006,An Information Theoretic Framework for Eukaryotic Gradient Sensing,Joseph Kimmel,None
NeurIPS,2006,An Information Theoretic Framework for Eukaryotic Gradient Sensing,Richard Salter,None
NeurIPS,2006,An Information Theoretic Framework for Eukaryotic Gradient Sensing,Peter Thomas,Case Western Reserve University
NeurIPS,2006,Gaussian and Wishart Hyperkernels,Risi Kondor,The University of Chicago
NeurIPS,2006,Gaussian and Wishart Hyperkernels,Tony Jebara,Spotify
NeurIPS,2006,A Nonparametric Approach to Bottom-Up Visual Saliency,Wolf Kienzle,Max Planck Institute for Biological Cybernetics
NeurIPS,2006,A Nonparametric Approach to Bottom-Up Visual Saliency,Felix A Wichmann,Max Planck Institute for Biological Cybernetics
NeurIPS,2006,A Nonparametric Approach to Bottom-Up Visual Saliency,Bernhard Schölkopf,"MPI for Intelligent Systems, Tübingen"
NeurIPS,2006,A Nonparametric Approach to Bottom-Up Visual Saliency,Matthias Franz,MPI for Biological Cybernetics
NeurIPS,2006,Attribute-efficient learning of linear threshold functions under unconcentrated distributions,Phil Long,NEC Labs
NeurIPS,2006,Attribute-efficient learning of linear threshold functions under unconcentrated distributions,Rocco A Servedio,Columbia University
NeurIPS,2006,Recursive Attribute Factoring,David Cohn,"Google, Inc"
NeurIPS,2006,Recursive Attribute Factoring,Deepak Verma,University of Washington
NeurIPS,2006,Recursive Attribute Factoring,Karl Pfleger,Google
NeurIPS,2006,Linearly-solvable Markov decision problems,Emanuel Todorov,University of California San Diego
NeurIPS,2006,Detecting Humans via Their Pose,Alessandro Bissacco,UCLA
NeurIPS,2006,Detecting Humans via Their Pose,Ming-Hsuan Yang,Honda Research Institute
NeurIPS,2006,Detecting Humans via Their Pose,Stefano Soatto,UCLA
NeurIPS,2006,"iLSTD: Convergence, Eligibility Traces, and Mountain Car",Alborz Geramifard,Facebook AI
NeurIPS,2006,"iLSTD: Convergence, Eligibility Traces, and Mountain Car",Michael Bowling,DeepMind / University of Alberta
NeurIPS,2006,"iLSTD: Convergence, Eligibility Traces, and Mountain Car",Martin A Zinkevich,Yahoo! Inc.
NeurIPS,2006,"iLSTD: Convergence, Eligibility Traces, and Mountain Car",Rich Sutton,"DeepMind, U Alberta"
NeurIPS,2006,Large Margin Component Analysis,Lorenzo Torresani,"Riya, Inc."
NeurIPS,2006,Large Margin Component Analysis,Kuang-chih Lee,Alibaba Inc.
NeurIPS,2006,Multi-dynamic Bayesian Networks,Karim Filali,Yahoo! Inc.
NeurIPS,2006,Multi-dynamic Bayesian Networks,Jeff A Bilmes,"University of Washington, Seattle"
NeurIPS,2006,Estimating Observation Functions in Dynamical Systems Using Unsupervised Regression,ali rahimi,Intel
NeurIPS,2006,Estimating Observation Functions in Dynamical Systems Using Unsupervised Regression,Benjamin Recht,California Institute of Technology
NeurIPS,2006,Automated Hierarchy Discovery for Planning in Partially Observable Domains,Laurent Charlin,McGill University
NeurIPS,2006,Automated Hierarchy Discovery for Planning in Partially Observable Domains,Pascal Poupart,University of Waterloo
NeurIPS,2006,Automated Hierarchy Discovery for Planning in Partially Observable Domains,Romy Shioda,None
NeurIPS,2006,Temporal Coding using the Response Properties of Spiking Neurons,Thomas Voegtlin,INRIA
NeurIPS,2006,Inferring Graphical Model Structure using $\ell_1$-Regularized Pseudo-Likelihood,Martin J Wainwright,UC Berkeley
NeurIPS,2006,Inferring Graphical Model Structure using $\ell_1$-Regularized Pseudo-Likelihood,Pradeep Ravikumar,Carnegie Mellon University
NeurIPS,2006,Inferring Graphical Model Structure using $\ell_1$-Regularized Pseudo-Likelihood,John Lafferty,Yale University
NeurIPS,2006,Analysis of Representations for Domain Adaptation,John Blitzer,Google
NeurIPS,2006,Analysis of Representations for Domain Adaptation,Shai Ben-David,University of Waterloo
NeurIPS,2006,Analysis of Representations for Domain Adaptation,Yacov Crammer,Technion
NeurIPS,2006,Analysis of Representations for Domain Adaptation,Fernando Pereira,Google
NeurIPS,2006,A Kernel Subspace Method by Stochastic Realization for Learning Nonlinear Dynamical Systems,Yoshinobu Kawahara,Osaka University / RIKEN
NeurIPS,2006,A Kernel Subspace Method by Stochastic Realization for Learning Nonlinear Dynamical Systems,Takehisa Yairi,None
NeurIPS,2006,A Kernel Subspace Method by Stochastic Realization for Learning Nonlinear Dynamical Systems,Kazuo Machida,None
NeurIPS,2006,Tighter PAC-Bayes Bounds,Amiran Ambroladze,None
NeurIPS,2006,Tighter PAC-Bayes Bounds,Emilio Parrado-Hernandez,University Carlos III de Madrid
NeurIPS,2006,Tighter PAC-Bayes Bounds,John Shawe-Taylor,UCL
NeurIPS,2006,Mixture Regression for Covariate Shift,Amos Storkey,University of Edinburgh
NeurIPS,2006,Mixture Regression for Covariate Shift,Masashi Sugiyama,RIKEN / University of Tokyo
NeurIPS,2006,Learning Motion Style Synthesis from Perceptual Observations,Lorenzo Torresani,"Riya, Inc."
NeurIPS,2006,Learning Motion Style Synthesis from Perceptual Observations,Peggy Hackney,None
NeurIPS,2006,Learning Motion Style Synthesis from Perceptual Observations,Christoph Bregler,New York University
NeurIPS,2006,The Neurodynamics of Belief Propagation on Binary Markov Random Fields,Thomas Ott,ETH Zurich
NeurIPS,2006,The Neurodynamics of Belief Propagation on Binary Markov Random Fields,Ruedi Stoop,None
NeurIPS,2006,A Switched Gaussian Process for Estimating Disparity and Segmentation in Binocular St,Oliver Williams,Microsoft Research
NeurIPS,2006,Dirichlet-Enhanced Spam Filtering based on Biased Samples,Steffen Bickel,Max Planck Institute for Computer Science
NeurIPS,2006,Dirichlet-Enhanced Spam Filtering based on Biased Samples,Tobias Scheffer,Universität Potsdam
NeurIPS,2006,A selective attention multi--chip system with dynamic synapses and  spiking neurons,Chiara Bartolozzi,None
NeurIPS,2006,A selective attention multi--chip system with dynamic synapses and  spiking neurons,Giacomo Indiveri,ETH Zurich
NeurIPS,2006,Aggregating Classification Accuracy through Time - Classifying Single Trial EEG,Steven Lemm,Fraunhofer FIRST
NeurIPS,2006,Aggregating Classification Accuracy through Time - Classifying Single Trial EEG,Christin Schäfer,None
NeurIPS,2006,Aggregating Classification Accuracy through Time - Classifying Single Trial EEG,Gabriel Curio,None
NeurIPS,2006,An Approach to Bounded Rationality,Eli Ben-Sasson,None
NeurIPS,2006,An Approach to Bounded Rationality,Adam T Kalai,Microsoft Research New Engand
NeurIPS,2006,An Approach to Bounded Rationality,Ehud Kalai,None
NeurIPS,2006,Sparse Kernel Orthonormalized PLS for feature extraction in large data sets,Jerónimo Arenas-García,Universidad Carlos III de Madrid
NeurIPS,2006,Sparse Kernel Orthonormalized PLS for feature extraction in large data sets,Kaare Brandt Petersen,Technical University of Denmark
NeurIPS,2006,Sparse Kernel Orthonormalized PLS for feature extraction in large data sets,Lars K Hansen,Technical University of Denmark
NeurIPS,2006,Handling Advertisements of Unknown Quality in Search Advertising,Sandeep Pandey,Carnegie Mellon University
NeurIPS,2006,Handling Advertisements of Unknown Quality in Search Advertising,Christopher Olston,None
NeurIPS,2006,Generalized Regularized Least-Squares Learning with Predefined Features in a Hilbert Space,Wenye Li,The Chinese University of Hong Kong
NeurIPS,2006,Generalized Regularized Least-Squares Learning with Predefined Features in a Hilbert Space,Kin-Hong Lee,None
NeurIPS,2006,Generalized Regularized Least-Squares Learning with Predefined Features in a Hilbert Space,Kwong-Sak Leung,None
NeurIPS,2006,Learning Time-Intensity Profiles of Human Activity using Non-Parametric Bayesian Models,Alexander Ihler,UC Irvine
NeurIPS,2006,Learning Time-Intensity Profiles of Human Activity using Non-Parametric Bayesian Models,Padhraic Smyth,"University of California, Irvine"
NeurIPS,2006,Unified Inference for Variational Bayesian Linear Gaussian State-Space Models,David Barber,University College London
NeurIPS,2006,Unified Inference for Variational Bayesian Linear Gaussian State-Space Models,Silvia Chiappa,University of Cambridge
NeurIPS,2006,Using Combinatorial Optimization within Max-Product Belief Propagation,John Duchi,UC Berkeley
NeurIPS,2006,Using Combinatorial Optimization within Max-Product Belief Propagation,Daniel Tarlow,Google Brain
NeurIPS,2006,Using Combinatorial Optimization within Max-Product Belief Propagation,Gal Elidan,Hebrew University
NeurIPS,2006,Using Combinatorial Optimization within Max-Product Belief Propagation,Daphne Koller,insitro
NeurIPS,2006,Information Bottleneck Optimization and Independent Component Extraction with Spiking Neurons,Stefan Klampfl,Graz University of Technology
NeurIPS,2006,Information Bottleneck Optimization and Independent Component Extraction with Spiking Neurons,Robert Legenstein,Graz University of Technology
NeurIPS,2006,Information Bottleneck Optimization and Independent Component Extraction with Spiking Neurons,Wolfgang Maass,Graz University of Technology
NeurIPS,2006,Sparse Multinomial Logistic Regression via Bayesian L1 Regularisation,Gavin Cawley,University of East Anglia
NeurIPS,2006,Sparse Multinomial Logistic Regression via Bayesian L1 Regularisation,Nicola Talbot,None
NeurIPS,2006,Sparse Multinomial Logistic Regression via Bayesian L1 Regularisation,Mark A Girolami,University of Glasgow
NeurIPS,2006,Computation of Similarity Measures for Sequential Data using Generalized Suffix Trees,Konrad Rieck,Berlin Institute of Technology
NeurIPS,2006,Computation of Similarity Measures for Sequential Data using Generalized Suffix Trees,Pavel Laskov,Fraunhofer FIRST
NeurIPS,2006,Computation of Similarity Measures for Sequential Data using Generalized Suffix Trees,Soeren Sonnenburg,TomTom
NeurIPS,2006,Predicting spike times from subthreshold dynamics of a neuron,Ryota Kobayashi,Ritsumeikan University
NeurIPS,2006,Predicting spike times from subthreshold dynamics of a neuron,Shigeru Shinomoto,Kyoto University
NeurIPS,2006,Online Clustering of Moving Subspaces,René Vidal,Mathematical Institute for Data Science Johns Hopkins University
NeurIPS,2006,Support Vector Machines on a Budget,Ofer Dekel,Microsoft Research
NeurIPS,2006,Support Vector Machines on a Budget,Yoram Singer,Princeton
NeurIPS,2006,Modeling Dyadic Data with Binary Latent Features,Ted Meeds,U. Amsterdam
NeurIPS,2006,Modeling Dyadic Data with Binary Latent Features,Zoubin Ghahramani,Uber and University of Cambridge
NeurIPS,2006,Modeling Dyadic Data with Binary Latent Features,Radford M Neal,University of Toronto
NeurIPS,2006,Modeling Dyadic Data with Binary Latent Features,Sam T Roweis,University of Toronto
NeurIPS,2006,Inducing Metric Violations in Human Similarity Judgements,Julian Laub,Fraunhofer FIRST
NeurIPS,2006,Inducing Metric Violations in Human Similarity Judgements,Jakob H Macke,University of Tübingen & MPI IS Tübingen
NeurIPS,2006,Inducing Metric Violations in Human Similarity Judgements,Klaus-Robert Müller,TU Berlin
NeurIPS,2006,Inducing Metric Violations in Human Similarity Judgements,Felix A Wichmann,Max Planck Institute for Biological Cybernetics
NeurIPS,2006,Multiple Instance Learning for Computer Aided Diagnosis,Glenn Fung,America Family Insurance
NeurIPS,2006,Multiple Instance Learning for Computer Aided Diagnosis,Murat Dundar,IUPUI
NeurIPS,2006,Multiple Instance Learning for Computer Aided Diagnosis,Balaji R Krishnapuram,IBM
NeurIPS,2006,Multiple Instance Learning for Computer Aided Diagnosis,R. Bharat Rao,None
NeurIPS,2006,Part-based Probabilistic Point Matching using Equivalence Constraints,Graham McNeill,University of Edinburgh
NeurIPS,2006,Part-based Probabilistic Point Matching using Equivalence Constraints,Sethu Vijayakumar,University of Edinburgh
NeurIPS,2006,No-regret algorithms for Online Convex Programs,Geoffrey Gordon,MSR Montréal & CMU
NeurIPS,2006,Modeling Human Motion Using Binary Latent Variables,Graham Taylor,University of Guelph
NeurIPS,2006,Modeling Human Motion Using Binary Latent Variables,Geoffrey E Hinton,Google & University of Toronto
NeurIPS,2006,Modeling Human Motion Using Binary Latent Variables,Sam T Roweis,University of Toronto
NeurIPS,2006,Map-Reduce for Machine Learning on Multicore,Cheng-Tao Chu,Google
NeurIPS,2006,Map-Reduce for Machine Learning on Multicore,Sang Kyun Kim,None
NeurIPS,2006,Map-Reduce for Machine Learning on Multicore,Yi-An Lin,None
NeurIPS,2006,Map-Reduce for Machine Learning on Multicore,YuanYuan Yu,None
NeurIPS,2006,Map-Reduce for Machine Learning on Multicore,Gary R Bradski,OpenCV
NeurIPS,2006,Map-Reduce for Machine Learning on Multicore,Andrew Y Ng,DeepLearning.AI
NeurIPS,2006,Map-Reduce for Machine Learning on Multicore,Kunle Olukotun,Stanford
NeurIPS,2006,Boosting Structured Prediction for Imitation Learning,Nathan D Ratliff,Carnegie Mellon University
NeurIPS,2006,Boosting Structured Prediction for Imitation Learning,David M Bradley,Carnegie Mellon University
NeurIPS,2006,Boosting Structured Prediction for Imitation Learning,Drew Bagnell,Carnegie Mellon University
NeurIPS,2006,Boosting Structured Prediction for Imitation Learning,Joel Chestnutt,None
NeurIPS,2006,Doubly Stochastic Normalization for Spectral Clustering,Ron Zass,The Hebrew University of Jerusalem
NeurIPS,2006,Doubly Stochastic Normalization for Spectral Clustering,Amnon Shashua,Hebrew University of Jerusalem
NeurIPS,2006,Simplifying Mixture Models through Function Approximation,Kai Zhang,The HongKong University of Science and Technology
NeurIPS,2006,Simplifying Mixture Models through Function Approximation,James T Kwok,Hong Kong University of Science and Technology
NeurIPS,2006,"On the Relation Between Low Density Separation, Spectral Clustering and Graph Cuts",Hariharan Narayanan,Tata Institute of Fundamental Research
NeurIPS,2006,"On the Relation Between Low Density Separation, Spectral Clustering and Graph Cuts",Mikhail Belkin,Ohio State University
NeurIPS,2006,"On the Relation Between Low Density Separation, Spectral Clustering and Graph Cuts",Partha Niyogi,University of Chicago
NeurIPS,2006,Prediction on a Graph with a Perceptron,Mark Herbster,University College London
NeurIPS,2006,Prediction on a Graph with a Perceptron,Massimiliano Pontil,IIT & UCL
NeurIPS,2006,Multiple timescales and uncertainty in motor adaptation,Konrad P Kording,MIT
NeurIPS,2006,Multiple timescales and uncertainty in motor adaptation,Josh Tenenbaum,MIT
NeurIPS,2006,Multiple timescales and uncertainty in motor adaptation,Reza Shadmehr,None
NeurIPS,2006,Learning from Multiple Sources,Yacov Crammer,Technion
NeurIPS,2006,Learning from Multiple Sources,Michael Kearns,University of Pennsylvania
